id,url_id,user,text,created,updated,references,in_class
ATN0stGiEeiv2ad4tj-bjQ,1,camilleweinsheimer,I think that being aware of the limits our boundaries of what that metric illustrates is important,2018-10-17,2018-10-17,,True
lAZAwtGhEeiv1t-aRq8YsQ,1,camilleweinsheimer,"Ah...""hot or not"" - I agree with you; one way to try and get around this (or at least mitigate potential disparity) is to put responsibility on the researcher to draw connections between their scientific work and the practical/societal implications of that work, whatever that may be. Many granting agencies, for example, require that proposals clearly state the implications of research in lay terms, and clearly state ""why the research matters."" But I still recognize that even so, some less ""trendy"" research topics may be excluded, or research that is further removed from application.",2018-10-17,2018-10-17,['dmDYKtDKEein4ZtbYcOsCQ'],True
cGv2dtGbEeiRRM85TImazQ,1,mawaters,"This is so true, falls into the clicktavism debate that just because people click on a link, sign a petition, or have something to say online, it does not mean it is always effective.",2018-10-16,2018-10-16,,True
nxm54tGUEei770e4xTVUZA,1,mawaters,"I've never heard of this so I looked it up. F1000Prime was launched in 2002.

F1000Prime identifies and recommends important articles in biology and medical research publications. Articles are selected by a peer-nominated global 'Faculty' of the world's leading scientists and clinicians who then rate them and explain their importance. 

(https://f1000.com/prime/about/whatis) ",2018-10-16,2018-10-16,,True
9k3eetGSEei-tB8J-gbaQA,1,camilleweinsheimer,"I think this is a fair fear - something that isn't too difficult to imagine. A bit further down in the paper there is mention of  ""timestamps"" which had me thinking that maybe there could be some sort of ""metric"" (sorry, word of the day...) that could indicate where or how these counts are coming from: for example, X paper receives Y cites, but with further investigation, Z cites came from the same website/ IP address (just throwing this out there...) within a certain timeframe.",2018-10-16,2018-10-16,['PVFCus9vEei9AhNDDQ50zg'],True
zzbQCtGQEeicdpPxsgBNAw,1,camilleweinsheimer,"I suppose I'm surprised by a lack of relationship because I would expect that researchers and those interested in the science would link to the source - so I'd expect that someone may provide the ultra-Cliff's-Notes version in a tweet, but then offer circulation of the original work. To bring up demographics again, perhaps there's a difference based on ""who"" is creating the tweet: citing an original source, whether one's own work or others', may seem more important to, let's say, an early-career researcher vs. a pop-science consumer? ",2018-10-16,2018-10-16,['DTGR0tGDEeip-tONnpTMSQ'],True
TIwuwNGQEeif3kORDYyNug,1,mawaters,"I've never heard of this, thanks for the definition.",2018-10-16,2018-10-16,['uBhpZNDxEeiOEftVAg5xDg'],True
nLP2PNGOEeiGo8PakvaTHA,1,mawaters,"Wow, have has this not been upgraded in 350 years. No wonder open access is such an issue still today.",2018-10-16,2018-10-16,,True
u6BujNGNEeiGonPa9pRang,1,juan,"Crossref event data will be capturing mentions in annotations, I think. But not your paper, because it doesn't have a DOI. ",2018-10-16,2018-10-16,"['kg-iJND1EeinZq8j6GRVyQ', 'Q7w6StEfEeizQ7erQedGIA']",True
OEQhbtGNEeiPU1vD2X67CA,1,juan,you might remember from 2 weeks ago... academic careers are valued primarily by metrics metrics and.... metrics! ,2018-10-16,2018-10-16,['RT7bHNGCEei8Eb94ap3cKA'],True
